1743758780: mosquitto version 2.0.21 starting
1743758780: Config loaded from /mosquitto/config/mosquitto.conf.
1743758780: Opening ipv4 listen socket on port 1883.
1743758780: Opening ipv6 listen socket on port 1883.
1743758780: mosquitto version 2.0.21 running
1743758781: New connection from 172.18.0.3:54035 on port 1883.
1743758781: New client connected from 172.18.0.3:54035 as auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (p2, c1, k60).
1743758781: No will message specified.
1743758781: Sending CONNACK to auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (0, 0)
1743758781: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743758785: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743758785: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743758785: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743758785: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743758785: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743758785: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743758785: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743758785: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743758786: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743758786: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (159 bytes))
1743758786: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743758786: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (167 bytes))
1743758786: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758786: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743758786: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758786: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758786: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743758786: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758787: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758787: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743758787: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758787: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758787: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743758787: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758787: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758787: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758787: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758787: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758788: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758788: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758788: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758788: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758788: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758788: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758788: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758788: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743758788: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758788: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758789: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758789: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758789: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758789: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758789: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758789: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758789: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743758789: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743758789: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758789: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758790: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758790: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758790: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758790: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758790: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758790: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743758790: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758790: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758790: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758790: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758791: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758791: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758791: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758791: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743758791: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758791: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758791: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758791: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743758791: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (167 bytes))
1743758792: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758792: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758792: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758792: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758792: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758792: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758792: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758792: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758792: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758792: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743758793: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758793: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743758793: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758793: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758793: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758793: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743758793: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743758793: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743758793: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743758793: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743758794: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743758795: Received DISCONNECT from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12
1743758795: Client auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 disconnected.
1743759056: New connection from 172.18.0.3:33597 on port 1883.
1743759056: New client connected from 172.18.0.3:33597 as auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (p2, c1, k60).
1743759056: No will message specified.
1743759056: Sending CONNACK to auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (0, 0)
1743759056: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759056: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759056: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759056: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743759056: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759056: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743759056: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743759056: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743759057: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759057: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743759057: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743759057: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743759057: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759057: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759057: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759057: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (159 bytes))
1743759057: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759057: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759058: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743759058: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759058: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759058: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (159 bytes))
1743759058: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759058: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743759058: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759058: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759058: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743759058: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743759059: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759059: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743759059: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743759059: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743759059: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743759059: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759059: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743759059: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759059: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743759059: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759060: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759060: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743759060: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743759060: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743759060: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743759060: Received PUBLISH from auto-CD9DBAFB-0C64-0965-D268-6EA185C584A8 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
